Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19335.3602002969
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,53309.2035905065
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,10462.7929159533
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,39274.9431424899
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4511.99755157656
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1031.34146480732
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,807.425524872835
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,6405.82443444562
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1352.17204191532
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2502.32744328073
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,48359.0011950597
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,17012.8598553199
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,68452.23622306
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2041.42863698585
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4106.94856160358
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,3831.27894763337
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5671.8568632942
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,81810.1926481407
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,87127.5517977404
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,44250.6313628073
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,33812.788724868
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5607.24299266608
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,40415.9567649547
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4170.1144003465
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9457.12614657136
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1960.40808854893
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1750.9977188915
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31902.4169048194
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4415.99716107514
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,31707.8737464917
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1421.99927504102
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2589.32081035237
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17294.9751600969
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8905.88005497437
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1082.05706777516
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,658.164180770507
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,9963.19489084483
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,166907.839305016
